index	name	kind
555	CustomerUpdatePayload	OBJECT
556	CustomerUpdateDefaultAddressPayload	OBJECT
557	deliveryProfileCreatePayload	OBJECT
558	DeliveryProfileInput	INPUT_OBJECT
559	DeliveryProfileLocationGroupInput	INPUT_OBJECT
560	DeliveryLocationGroupZoneInput	INPUT_OBJECT
561	DeliveryCountryInput	INPUT_OBJECT
562	DeliveryProvinceInput	INPUT_OBJECT
563	DeliveryMethodDefinitionInput	INPUT_OBJECT
564	DeliveryRateDefinitionInput	INPUT_OBJECT
565	DeliveryParticipantInput	INPUT_OBJECT
566	DeliveryParticipantServiceInput	INPUT_OBJECT
567	DeliveryWeightConditionInput	INPUT_OBJECT
568	DeliveryPriceConditionInput	INPUT_OBJECT
569	DeliveryUpdateConditionInput	INPUT_OBJECT
570	deliveryProfileRemovePayload	OBJECT
571	deliveryProfileUpdatePayload	OBJECT
572	DeliverySettingUpdatePayload	OBJECT
573	DeliverySettingInput	INPUT_OBJECT
574	DeliveryShippingOriginAssignPayload	OBJECT
575	MutationsDeviceAttributesReportInput	INPUT_OBJECT
576	DiscountAutomaticActivatePayload	OBJECT
577	DiscountUserError	OBJECT
578	DiscountErrorCode	ENUM
579	DiscountAutomaticBxgyCreatePayload	OBJECT
580	DiscountAutomaticBxgyInput	INPUT_OBJECT
581	DiscountCustomerBuysInput	INPUT_OBJECT
582	DiscountCustomerBuysValueInput	INPUT_OBJECT
583	DiscountItemsInput	INPUT_OBJECT
584	DiscountProductsInput	INPUT_OBJECT
585	DiscountCollectionsInput	INPUT_OBJECT
586	DiscountCustomerGetsInput	INPUT_OBJECT
587	DiscountCustomerGetsValueInput	INPUT_OBJECT
588	DiscountOnQuantityInput	INPUT_OBJECT
589	DiscountEffectInput	INPUT_OBJECT
590	DiscountAmountInput	INPUT_OBJECT
591	DiscountAutomaticBxgyUpdatePayload	OBJECT
592	DiscountAutomaticBasicCreatePayload	OBJECT
593	DiscountAutomaticBasicInput	INPUT_OBJECT
594	DiscountMinimumRequirementInput	INPUT_OBJECT
595	DiscountMinimumQuantityInput	INPUT_OBJECT
596	DiscountMinimumSubtotalInput	INPUT_OBJECT
597	DiscountAutomaticBasicUpdatePayload	OBJECT
598	DiscountAutomaticDeactivatePayload	OBJECT
599	DiscountAutomaticBulkDeletePayload	OBJECT
600	DiscountAutomaticDeletePayload	OBJECT
601	DiscountCodeActivatePayload	OBJECT
602	DiscountCodeBasicCreatePayload	OBJECT
603	DiscountCodeBasicInput	INPUT_OBJECT
604	DiscountCustomerSelectionInput	INPUT_OBJECT
605	DiscountCustomersInput	INPUT_OBJECT
606	DiscountCustomerSavedSearchesInput	INPUT_OBJECT
607	DiscountCodeBasicUpdatePayload	OBJECT
608	DiscountCodeBxgyCreatePayload	OBJECT
609	DiscountCodeBxgyInput	INPUT_OBJECT
610	DiscountCodeBxgyUpdatePayload	OBJECT
611	DiscountCodeDeactivatePayload	OBJECT
612	DiscountCodeDeletePayload	OBJECT
613	DiscountCodeFreeShippingCreatePayload	OBJECT
614	DiscountCodeFreeShippingInput	INPUT_OBJECT
615	DiscountShippingDestinationSelectionInput	INPUT_OBJECT
616	DiscountCountriesInput	INPUT_OBJECT
617	DiscountCodeFreeShippingUpdatePayload	OBJECT
618	DraftOrderCalculatePayload	OBJECT
619	CalculatedDraftOrder	OBJECT
620	CalculatedDraftOrderLineItem	OBJECT
621	DraftOrderInput	INPUT_OBJECT
622	DraftOrderAppliedDiscountInput	INPUT_OBJECT
623	DraftOrderLineItemInput	INPUT_OBJECT
624	ShippingLineInput	INPUT_OBJECT
625	DraftOrderCompletePayload	OBJECT
626	DraftOrderCreatePayload	OBJECT
627	DraftOrderDeletePayload	OBJECT
628	DraftOrderDeleteInput	INPUT_OBJECT
629	DraftOrderInvoicePreviewPayload	OBJECT
630	DraftOrderInvoiceSendPayload	OBJECT
631	DraftOrderUpdatePayload	OBJECT
632	FlowTriggerReceivePayload	OBJECT
633	FulfillmentCreatePayload	OBJECT
634	FulfillmentInput	INPUT_OBJECT
635	FulfillmentLineItemInput	INPUT_OBJECT
636	FulfillmentTrackingInfoUpdatePayload	OBJECT
637	TrackingInfoUpdateInput	INPUT_OBJECT
638	TrackingInfoInput	INPUT_OBJECT
639	FulfillmentServiceCreatePayload	OBJECT
640	FulfillmentServiceUpdatePayload	OBJECT
641	FulfillmentServiceDeletePayload	OBJECT
642	InventoryActivatePayload	OBJECT
643	InventoryAdjustQuantityPayload	OBJECT
644	InventoryAdjustQuantityInput	INPUT_OBJECT
645	InventoryBulkAdjustQuantityAtLocationPayload	OBJECT
646	InventoryAdjustItemInput	INPUT_OBJECT
647	InventoryDeactivatePayload	OBJECT
648	InventoryItemUpdatePayload	OBJECT
649	InventoryItemUpdateInput	INPUT_OBJECT
650	CountryHarmonizedSystemCodeInput	INPUT_OBJECT
651	MetafieldDeletePayload	OBJECT
652	MetafieldDeleteInput	INPUT_OBJECT
653	MarketingActivityUpdatePayload	OBJECT
654	MarketingActivityUpdateInput	INPUT_OBJECT
655	MarketingActivityBudgetInput	INPUT_OBJECT
656	UTMInput	INPUT_OBJECT
657	MarketingEngagementCreatePayload	OBJECT
658	MarketingEngagement	OBJECT
659	UtcOffset	SCALAR
660	MarketingEngagementInput	INPUT_OBJECT
661	KitSkillTriggerRequestPayload	OBJECT
662	KitSkillLocale	ENUM
663	MetafieldStorefrontVisibilityCreatePayload	OBJECT
664	MetafieldStorefrontVisibilityInput	INPUT_OBJECT
665	MetafieldStorefrontVisibilityDeletePayload	OBJECT
666	MobileDeviceRegisterInput	INPUT_OBJECT
667	MobileDeviceUnregisterInput	INPUT_OBJECT
668	MobileTokenDeleteInput	INPUT_OBJECT
669	NotificationSubscriptionInput	INPUT_OBJECT
670	OrderCapturePayload	OBJECT
671	OrderCaptureInput	INPUT_OBJECT
672	OrderClosePayload	OBJECT
673	OrderCloseInput	INPUT_OBJECT
674	OrderMarkAsPaidPayload	OBJECT
675	OrderMarkAsPaidInput	INPUT_OBJECT
676	OrderOpenPayload	OBJECT
677	OrderOpenInput	INPUT_OBJECT
678	OrderUpdatePayload	OBJECT
679	OrderInput	INPUT_OBJECT
680	PriceRuleActivatePayload	OBJECT
681	PriceRuleUserError	OBJECT
682	PriceRuleErrorCode	ENUM
683	PriceRuleCreatePayload	OBJECT
684	PriceRuleInput	INPUT_OBJECT
685	PriceRuleValidityPeriodInput	INPUT_OBJECT
686	PriceRuleCustomerSelectionInput	INPUT_OBJECT
687	PriceRuleValueInput	INPUT_OBJECT
688	PriceRuleMoneyRangeInput	INPUT_OBJECT
689	PriceRuleQuantityRangeInput	INPUT_OBJECT
690	PriceRuleItemEntitlementsInput	INPUT_OBJECT
691	PriceRuleItemPrerequisitesInput	INPUT_OBJECT
692	PriceRuleShippingEntitlementsInput	INPUT_OBJECT
693	PriceRuleEntitlementToPrerequisiteQuantityRatioInput	INPUT_OBJECT
694	PriceRulePrerequisiteToEntitlementQuantityRatioInput	INPUT_OBJECT
695	PriceRuleDiscountCodeInput	INPUT_OBJECT
696	PriceRuleDeactivatePayload	OBJECT
697	PriceRuleDeletePayload	OBJECT
698	PriceRuleDiscountCodeCreatePayload	OBJECT
